id,artist_genres,selected_genre,pop,rap,hip hop,dance,trap,rock,dance pop,latin,pop rap,reggaeton,country,house,contemporary,indie,latino,trap latino,post,alternative,edm,modern,teen,teen pop
5CtI0qwDJkDQGwXD1H1cLb,latin; latin pop; puerto rican pop; latin; latin hip hop; reggaeton; trap latino; canadian pop; pop,trap latino,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
77miSptORQoWNB08HrjnLp,bergen indie; norwegian indie,indie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4DyBx5MYoq8RsU33cEAIxT,dance pop; pop; pop rap; r&b; scam rap; trap queen; dance pop; pop; pop rap; rap,pop rap,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5Dbh1jVOK401AzUmwfgc3v,central asian hip hop; kazakh pop; russian pop,hip hop,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0RUGuh2uSNFJpGMSsD1F5C,dance pop; pop,dance pop,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3T5QSIgoaPIh07SwixRDp7,latin; latin hip hop; latin pop; reggaeton; reggaeton flow; trap latino; latin; reggaeton; reggaeton flow; trap boricua; trap latino; latin; reggaeton; reggaeton flow; trap boricua; trap latino; latin; latin hip hop; reggaeton; reggaeton flow; trap latino; latin; reggaeton; trap latino,trap latino,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
53AuxddsgPSlqM619nJhSd,emo; modern rock; rock,modern,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1ZAyjvIk9YiD76yYy0TEG6,atl hip hop; hip hop; melodic rap; plugg; pop rap; rap; southern hip hop; trap; vapor trap,pop rap,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2S8RjXFOOFWGbAaNKw7Nti,dance pop; edm; electropop; indietronica; metropopolis; pop; uk pop,edm,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
37RKadHJqPuVzlM0tDBC3N,movie tunes; hollywood,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
